checkpoint,zt_best_pct,zt_sig_pct,tpe_best_pct,tpe_sig_pct
0,100.0,100.0,0.0,0.0
1,50.0,0.0,50.0,10.0
5,0.0,0.0,100.0,30.0
10,0.0,0.0,100.0,30.0
20,0.0,0.0,100.0,30.0
