checkpoint,zt_best_pct,zt_sig_pct,tpe_best_pct,tpe_sig_pct
0,100.0,100.0,0.0,0.0
1,90.0,50.0,10.0,0.0
5,40.0,30.0,60.0,10.0
10,60.0,20.0,40.0,0.0
20,40.0,10.0,60.0,0.0
