checkpoint,standard_mean,standard_std,standard_count,warmstart_mean,warmstart_std,warmstart_count
1,0.8704136927172058,0.12971627374903674,500,0.8719018668453155,0.13046620903293887,500
5,0.8788611833393108,0.12253053403997338,500,0.8783695913364815,0.12368940495563929,500
10,0.8826161452063025,0.11847630331787641,500,0.8825689243013123,0.1186167676923347,500
15,0.8854350881230024,0.11514910814012409,500,0.8855506839948463,0.11441569806024571,500
20,0.8867671963368944,0.11394259802013706,500,0.8869219196814886,0.1129791043512343,500
