checkpoint,method1,method2,method1_mean,method1_std,method2_mean,method2_std,uplift_pct,winner,n_comparisons
1,standard,warmstart,0.8704136927172058,0.12971627374903671,0.8719018668453155,0.13046620903293887,-0.1706813787994401,warmstart,500
5,standard,warmstart,0.8788611833393107,0.12253053403997338,0.8783695913364815,0.12368940495563929,0.055966418655413734,standard,500
10,standard,warmstart,0.8826161452063025,0.11847630331787642,0.8825689243013123,0.11861676769233469,0.005350392891704283,standard,500
15,standard,warmstart,0.8854350881230024,0.11514910814012409,0.8855506839948463,0.1144156980602457,-0.013053557964900852,warmstart,500
20,standard,warmstart,0.8867671963368944,0.11394259802013706,0.8869219196814886,0.1129791043512343,-0.017444979220918796,warmstart,500
