checkpoint,zt_best_pct,zt_sig_pct,tpe_best_pct,tpe_sig_pct
0,100.0,100.0,0.0,0.0
1,100.0,90.0,0.0,0.0
5,100.0,90.0,0.0,0.0
10,100.0,90.0,0.0,0.0
20,70.0,10.0,30.0,0.0
