dataset_id,dataset_name,Zero-shot_mean,Random_mean,best_method,t_statistic,p_value,significant,uplift_pct,n_samples
917,fri_c1_1000_25,0.8967728601673555,0.7774311926605505,Zero-shot,,,False,15.350769127025893,1
1049,pc4,0.8946299913194445,0.8437196180555557,Zero-shot,,,False,6.034039291538265,1
1111,KDDCup09_appetency,0.7969646105166341,0.7416899862496255,Zero-shot,,,False,7.45252400487517,1
1464,blood-transfusion-service-center,0.7098684210526316,0.6966739766081872,Zero-shot,,,False,1.8939195215361142,1
1494,qsar-biodeg,0.8552464788732395,0.802479879275654,Zero-shot,,,False,6.575442071546317,1
1510,wdbc,0.9692063492063494,0.9554034391534394,Zero-shot,,,False,1.4447205742885378,1
1558,bank-marketing,0.8486861375204071,0.7596486363199846,Zero-shot,,,False,11.720879488674225,1
4534,PhishingWebsites,0.9549884364793848,0.880802748719309,Zero-shot,,,False,8.42250865678407,1
23381,dresses-sales,0.57873973727422,0.5483784893267653,Zero-shot,,,False,5.536549762323598,1
40536,SpeedDating,0.8095615424430642,0.7608670807453416,Zero-shot,,,False,6.399864434931496,1
