checkpoint,zt_best_pct,zt_sig_pct,tpe_best_pct,tpe_sig_pct
0,100.0,100.0,0.0,0.0
1,20.0,20.0,80.0,70.0
5,30.0,10.0,70.0,30.0
10,40.0,20.0,60.0,0.0
20,50.0,10.0,50.0,0.0
