checkpoint,standard_mean,standard_std,standard_count,warmstart_mean,warmstart_std,warmstart_count
1,0.7733398163925732,0.11854511693091185,500,0.7193348062070581,0.1519287285417405,500
5,0.8269140789091223,0.10348691048375282,500,0.8259324126327224,0.108677579480468,500
10,0.8387736622656528,0.10074553430834428,500,0.8397229599091407,0.10296567833035465,500
15,0.8479203237366227,0.09924884913614282,500,0.8476851882085202,0.10031286383890196,500
20,0.8517498142892953,0.09811256069939994,500,0.851829461215214,0.09879077611656527,500
