checkpoint,method1,method2,method1_mean,method1_std,method2_mean,method2_std,uplift_pct,winner,n_comparisons
1,standard,warmstart,0.7733398163925733,0.11854511693091185,0.7193348062070583,0.1519287285417405,7.507632012174578,standard,500
5,standard,warmstart,0.8269140789091223,0.10348691048375282,0.8259324126327224,0.108677579480468,0.11885552151545956,standard,500
10,standard,warmstart,0.8387736622656528,0.10074553430834428,0.8397229599091407,0.10296567833035467,-0.11304890884377636,warmstart,500
15,standard,warmstart,0.8479203237366228,0.09924884913614282,0.8476851882085202,0.10031286383890196,0.027738543904435208,standard,500
20,standard,warmstart,0.8517498142892953,0.09811256069939994,0.8518294612152139,0.09879077611656527,-0.009350102285136873,warmstart,500
