checkpoint,standard_mean,standard_std,standard_count,warmstart_mean,warmstart_std,warmstart_count
1,0.8481338773686301,0.11305489171810894,500,0.8579394570719564,0.13693930381110644,500
5,0.8650057076966647,0.10885379758797951,500,0.8764621354238697,0.11335073846054881,500
10,0.8684786315766935,0.10755102381589797,500,0.8781500620176479,0.11119090563956667,500
15,0.8740766897262947,0.10577866187028402,500,0.8800538710721498,0.10904864547175801,500
20,0.8758352512628603,0.10545054387705256,500,0.8809365921110109,0.10799660870953336,500
