checkpoint,method1,method2,method1_mean,method1_std,method2_mean,method2_std,uplift_pct,winner,n_comparisons
1,standard,warmstart,0.8481338773686302,0.11305489171810894,0.8579394570719564,0.13693930381110642,-1.1429221051088432,warmstart,500
5,standard,warmstart,0.8650057076966647,0.10885379758797951,0.8764621354238697,0.11335073846054881,-1.3071218098502928,warmstart,500
10,standard,warmstart,0.8684786315766936,0.10755102381589798,0.8781500620176478,0.11119090563956667,-1.101341428904874,warmstart,500
15,standard,warmstart,0.8740766897262947,0.10577866187028402,0.8800538710721498,0.109048645471758,-0.6791835752705974,warmstart,500
20,standard,warmstart,0.8758352512628602,0.10545054387705256,0.8809365921110109,0.10799660870953336,-0.5790815018736197,warmstart,500
