checkpoint,zt_best_pct,zt_sig_pct,tpe_best_pct,tpe_sig_pct
0,100.0,100.0,0.0,0.0
1,60.0,20.0,40.0,0.0
5,10.0,0.0,90.0,50.0
10,10.0,0.0,90.0,50.0
20,0.0,0.0,100.0,80.0
