checkpoint,zt_best_pct,zt_sig_pct,tpe_best_pct,tpe_sig_pct
0,100.0,100.0,0.0,0.0
1,80.0,40.0,20.0,10.0
5,80.0,50.0,20.0,10.0
10,80.0,20.0,20.0,0.0
20,50.0,0.0,50.0,0.0
