checkpoint,method1,method2,method1_mean,method1_std,method2_mean,method2_std,uplift_pct,winner,n_comparisons
1,standard,warmstart,0.8552090770513319,0.11234831060383936,0.8604448196321967,0.1130278464818228,-0.6084925449493489,warmstart,500
5,standard,warmstart,0.8627630456551652,0.111241919723327,0.8647751513543963,0.1111969775435161,-0.2326738570228149,warmstart,500
10,standard,warmstart,0.8677033796429433,0.1099671173025118,0.8682446965949656,0.10992696808259085,-0.06234612824532247,warmstart,500
15,standard,warmstart,0.8716930788283632,0.10922748515883995,0.8714662205277002,0.1089147873603951,0.02603179507355737,standard,500
20,standard,warmstart,0.8728366636283785,0.10862753982641604,0.8727324575806358,0.1084225729485982,0.01194020536736159,standard,500
