checkpoint,standard_mean,standard_std,standard_count,warmstart_mean,warmstart_std,warmstart_count
1,0.8552090770513319,0.11234831060383936,500,0.8604448196321967,0.1130278464818228,500
5,0.8627630456551652,0.111241919723327,500,0.8647751513543963,0.1111969775435161,500
10,0.8677033796429434,0.1099671173025118,500,0.8682446965949655,0.10992696808259085,500
15,0.8716930788283632,0.10922748515883995,500,0.8714662205277002,0.1089147873603951,500
20,0.8728366636283785,0.10862753982641606,500,0.8727324575806359,0.1084225729485982,500
