dataset_id,dataset_name,ZT_mean,Random_mean,best_method,t_statistic,p_value,significant,uplift_pct,n_samples
917,fri_c1_1000_25,0.9512128238733744,0.9033410626071177,ZT,7.200846904978595,3.2425002383475125e-09,True,5.2994116229029595,50
1049,pc4,0.9227571614583333,0.9046516927083332,ZT,6.957626877277211,7.716013078795048e-09,True,2.0013745506622755,50
1111,KDDCup09_appetency,0.8148390107966752,0.8142004134264057,ZT,0.5942085475114087,0.5551063338198856,False,0.07843245468054802,50
1464,blood-transfusion-service-center,0.7335136452241714,0.7319809941520468,ZT,0.5151039212664257,0.6087964757943394,False,0.20938399826898701,50
1494,qsar-biodeg,0.8977344064386318,0.8776851106639838,ZT,8.571260450071986,2.5909422871944532e-11,True,2.2843381448593045,50
1510,wdbc,0.9849867724867724,0.9844113756613757,ZT,1.133808916046961,0.26239151744991085,False,0.05845085089656406,50
1558,bank-marketing,0.8679490780754827,0.8422405886872179,ZT,12.15867190841912,2.081604988919264e-16,True,3.0523925982166364,50
4534,PhishingWebsites,0.9705469586697393,0.9638862630348646,ZT,4.486497343892819,4.3849257536728644e-05,True,0.6910250607683761,50
23381,dresses-sales,0.6000492610837439,0.595636288998358,ZT,1.441538478134697,0.1557934600475194,False,0.7408836847074811,50
40536,SpeedDating,0.8326347308488613,0.8303621118012423,ZT,1.4766064226978726,0.14617949650971157,False,0.2736901184820648,50
