checkpoint,zt_best_pct,zt_sig_pct,tpe_best_pct,tpe_sig_pct
0,100.0,100.0,0.0,0.0
1,100.0,100.0,0.0,0.0
5,70.0,40.0,30.0,20.0
10,40.0,10.0,60.0,20.0
20,0.0,0.0,100.0,60.0
