dataset_id,checkpoint,standard_mean,standard_std,warmstart_mean,warmstart_std
917,1,0.7553692331916234,0.09306128049750174,0.8266556447803495,0.03666715011216749
917,5,0.8665863643520705,0.03906724919522258,0.8624452842072116,0.033160021198739835
917,10,0.886118721461187,0.0285578096715759,0.8858510470792001,0.025774000791374815
917,15,0.9004487482286252,0.027606058067451106,0.9002141395055898,0.025318143566148733
917,20,0.9080018894662257,0.024297076156557088,0.9092709809478822,0.02293894096594714
1049,1,0.8407749653259363,0.048978709761331535,0.7236945214979196,0.04836818199411391
1049,5,0.8889112343966711,0.023500762352493373,0.8825814840499308,0.025252517504555958
1049,10,0.8990031206657421,0.022213232383306022,0.8956657420249654,0.024625952434443037
1049,15,0.9050346740638002,0.02245127048905904,0.9035904993065187,0.022601510522558408
1049,20,0.9095769764216365,0.022071496346280008,0.9077323162274618,0.02184650389595302
1111,1,0.7483559322337691,0.03653849313103369,0.5320143282704626,0.012075466408703233
1111,5,0.7902046178829145,0.022157654405990566,0.7851578995479622,0.024259437850163476
1111,10,0.7995016292716851,0.01969682753829404,0.7964237934606878,0.019886692684731096
1111,15,0.8047241709355138,0.02048859512180786,0.8040290060546531,0.01940001418514942
1111,20,0.8059459902709718,0.01959690819775055,0.8070854139855678,0.018204940343554757
1464,1,0.6870729813664596,0.0661279691804886,0.6035714285714284,0.061218882558644445
1464,5,0.7294409937888199,0.04226929835457392,0.7282686335403727,0.04335123413671924
1464,10,0.7411180124223603,0.04417943304103181,0.7394138198757763,0.042791904821908755
1464,15,0.747239906832298,0.044241057249853506,0.7436529503105589,0.04289324437720487
1464,20,0.7503377329192545,0.043553959757080554,0.7477872670807453,0.04251997541492595
1494,1,0.7916651002506266,0.04962148274066139,0.7915867794486214,0.03086845475697976
1494,5,0.8391118421052631,0.033614650589745394,0.8448778195488721,0.031329358535444406
1494,10,0.8540037593984962,0.03314251264562138,0.8586293859649122,0.028449752875754415
1494,15,0.8654385964912281,0.02784322836743377,0.8645802005012532,0.026048043248558757
1494,20,0.869812030075188,0.026562691661846133,0.8692904135338345,0.026685437408150024
1510,1,0.9487254901960783,0.03293702375145076,0.9161919504643963,0.02915369188187318
1510,5,0.9705366357069144,0.01575478291101343,0.9707739938080495,0.016061405754970892
1510,10,0.9743498452012384,0.01353337167982515,0.9754798761609907,0.014497827581126579
1510,15,0.9764757481940144,0.013536283076949892,0.9777863777089784,0.01383419960917472
1510,20,0.9772910216718266,0.013238536548334345,0.9788648090815273,0.013188297298753081
1558,1,0.7701608931827151,0.07315053842655757,0.6740114279269966,0.03091569557570941
1558,5,0.8270762926902617,0.028112645582567396,0.8197524575681823,0.02892904445305676
1558,10,0.8392190290021239,0.024456070889816973,0.8374101084525308,0.02520636692905979
1558,15,0.8514168373963875,0.023113525563470058,0.8507625509839671,0.023771750529514288
1558,20,0.8570653910493768,0.021219489169153023,0.8546756761836738,0.024205672393902526
4534,1,0.8769728581788045,0.07333563874547203,0.9699735574432821,0.0035581123348374104
4534,5,0.9454151559100797,0.01900805515783135,0.9699735574432821,0.0035581123348374104
4534,10,0.9566421449290377,0.009574715277487982,0.9703269061431681,0.0038014332957383534
4534,15,0.9668020952035635,0.010474432165990656,0.9717942996995752,0.004829117555631743
4534,20,0.9678904356158706,0.009718727942950018,0.9723333419662281,0.0052376755866360425
23381,1,0.5518670076726342,0.0642785897691749,0.5153132992327365,0.058925612314548896
23381,5,0.6159462915601024,0.05696168224479699,0.6027365728900256,0.051277766252223675
23381,10,0.6327813299232736,0.05038377817172684,0.6298976982097186,0.050067508602010466
23381,15,0.6455179028132992,0.04520029362278731,0.6453644501278772,0.04850511279702182
23381,20,0.6522762148337595,0.044095885881862355,0.6535230179028133,0.04528178359448323
40536,1,0.7624337023270846,0.037450688771047486,0.6403351244343891,0.01620796153290627
40536,5,0.7959113606981255,0.020281548423187842,0.7927564237233353,0.02001033749990596
40536,10,0.8049990303813833,0.017615987182218202,0.8081312217194571,0.016638923366494706
40536,15,0.8161045572074984,0.015278469661435689,0.8150774078862315,0.014598507468002241
40536,20,0.819300460568843,0.013970158005096931,0.8177313752424047,0.013848073208590576
