dataset_id,dataset_name,ZT_mean,Random_mean,best_method,t_statistic,p_value,significant,uplift_pct,n_samples
917,fri_c1_1000_25,0.9727190240951709,0.9689121887287027,ZT,4.959158439979164,8.898138133653091e-06,True,0.39289787152570527,50
1049,pc4,0.9467903645833333,0.9415028211805556,ZT,4.5782774240542725,3.229653556979063e-05,True,0.5616067508058686,50
1111,KDDCup09_appetency,0.8077765689955362,0.7855159707970413,ZT,6.236901767749448,1.008550613650073e-07,True,2.8338823176195507,50
1464,blood-transfusion-service-center,0.6933528265107212,0.6756798245614034,ZT,3.9183618848957327,0.0002764558268715609,True,2.615588227869559,50
1494,qsar-biodeg,0.930692152917505,0.9278541247484909,ZT,2.4932621919206004,0.01608379827537418,True,0.305870081655703,50
1510,wdbc,0.9936706349206349,0.9922519841269842,ZT,2.8845558737997257,0.005810312060851961,True,0.14297283516130652,50
1558,bank-marketing,0.9030608374147698,0.894269062710074,ZT,6.4839911254943265,4.181538669198349e-08,True,0.9831241033937193,50
4534,PhishingWebsites,0.9969952419635605,0.9958883767966975,ZT,4.399769771057582,5.842722615896702e-05,True,0.1111434968669122,50
23381,dresses-sales,0.562811986863711,0.5634564860426929,Random,-0.17170198095131453,0.8643789853672903,False,-0.1143831324950037,50
40536,SpeedDating,0.8677256211180123,0.8630896997929607,ZT,3.200990201993089,0.0024051940256553973,True,0.5371308829387851,50
