checkpoint,method1,method2,method1_mean,method1_std,method2_mean,method2_std,uplift_pct,winner,n_comparisons
1,standard,warmstart,0.8484513538008411,0.11257725914139147,0.8579394570719564,0.13693930381110642,-1.105917578787787,warmstart,500
5,standard,warmstart,0.8571750695743624,0.10974477205525707,0.8729648852664915,0.11831163594599481,-1.808757254572609,warmstart,500
10,standard,warmstart,0.8571750695743624,0.10974477205525707,0.8729648852664915,0.11831163594599481,-1.808757254572609,warmstart,500
15,standard,warmstart,0.8571750695743624,0.10974477205525707,0.8729648852664915,0.11831163594599481,-1.808757254572609,warmstart,500
20,standard,warmstart,0.8571750695743624,0.10974477205525707,0.8729648852664915,0.11831163594599481,-1.808757254572609,warmstart,500
