comparison,method1,method2,total_datasets,method1_wins,win_rate_pct,significant_differences,significance_rate_pct,mean_uplift_pct,std_uplift_pct
zeroshot_vs_random,Zero-shot,Random,10,10,100.0,0,0.0,1.1744771512587118,1.50501575299817
zeroshot_vs_standard_optuna,Zero-shot,Standard Optuna TPE,10,3,30.0,0,0.0,-0.3623938560397754,1.3841272608046045
warmstart_vs_standard_optuna,Warm-started Optuna TPE,Standard Optuna TPE,10,7,70.0,0,0.0,1.7200349993642086,1.9501003843586375
