dataset_id,dataset_name,Zero-shot_mean,Standard Optuna TPE_mean,best_method,t_statistic,p_value,significant,uplift_pct,n_samples
917,fri_c1_1000_25,0.9483939913297712,0.9266824122185484,Zero-shot,,,False,2.3429363528378198,1
1049,pc4,0.9195496961805556,0.9152357836338418,Zero-shot,,,False,0.4713443927624694,1
1111,KDDCup09_appetency,0.8160671812189557,0.8192901645044611,Standard Optuna TPE,,,False,-0.3933872790301098,1
1464,blood-transfusion-service-center,0.7324512670565302,0.7402523291925466,Standard Optuna TPE,,,False,-1.0538382424984252,1
1494,qsar-biodeg,0.8911941649899395,0.8940178571428571,Standard Optuna TPE,,,False,-0.31584292532384534,1
1510,wdbc,0.985651455026455,0.9841382868937048,Zero-shot,,,False,0.15375564114331622,1
1558,bank-marketing,0.8602197973686738,0.8609198729394959,Standard Optuna TPE,,,False,-0.0813171577085059,1
4534,PhishingWebsites,0.9681292047281952,0.9708362296695328,Standard Optuna TPE,,,False,-0.27883435522992606,1
23381,dresses-sales,0.598735632183908,0.6176790281329922,Standard Optuna TPE,,,False,-3.0668672702621746,1
40536,SpeedDating,0.8308850414078676,0.842698731415643,Standard Optuna TPE,,,False,-1.4018877170883726,1
