checkpoint,method1,method2,method1_mean,method1_std,method2_mean,method2_std,uplift_pct,winner,n_comparisons
1,standard,warmstart,0.862607504087765,0.13272129990002,0.8619286541587281,0.13670893568099698,0.0787594107425823,standard,500
5,standard,warmstart,0.8768495159474184,0.12212957741993319,0.8760775598731265,0.1227870267574023,0.08811503794295548,standard,500
10,standard,warmstart,0.8810889852118713,0.11718137967628067,0.8805691169306319,0.1180228471025649,0.05903775992638553,standard,500
15,standard,warmstart,0.8850205501554426,0.11242033209286978,0.8850799108339165,0.1119982130908252,-0.006706815706388277,warmstart,500
20,standard,warmstart,0.8863839241245947,0.11134120689824836,0.886569447934401,0.11109974615104233,-0.02092603238680808,warmstart,500
