checkpoint,standard_mean,standard_std,standard_count,warmstart_mean,warmstart_std,warmstart_count
1,0.862607504087765,0.13272129990002,500,0.861928654158728,0.13670893568099698,500
5,0.8768495159474184,0.12212957741993319,500,0.8760775598731265,0.1227870267574023,500
10,0.8810889852118713,0.11718137967628069,500,0.8805691169306319,0.1180228471025649,500
15,0.8850205501554426,0.11242033209286978,500,0.8850799108339166,0.1119982130908252,500
20,0.8863839241245945,0.11134120689824836,500,0.8865694479344011,0.11109974615104234,500
