checkpoint,standard_mean,standard_std,standard_count,warmstart_mean,warmstart_std,warmstart_count
1,0.7725842392261254,0.11807199083869067,500,0.7193348062070581,0.1519287285417405,500
5,0.8270450600669349,0.10341432041135294,500,0.8259324126327224,0.108677579480468,500
10,0.840611996088536,0.10018541699669505,500,0.8397229599091407,0.10296567833035465,500
15,0.8488362661691183,0.09868342418829472,500,0.8476851882085202,0.10031286383890196,500
20,0.852315596431991,0.0979711085517303,500,0.851829461215214,0.09879077611656527,500
