checkpoint,method1,method2,method1_mean,method1_std,method2_mean,method2_std,uplift_pct,winner,n_comparisons
1,standard,warmstart,0.7725842392261254,0.11807199083869067,0.7193348062070583,0.1519287285417405,7.402593696229329,standard,500
5,standard,warmstart,0.8270450600669349,0.10341432041135294,0.8259324126327224,0.108677579480468,0.13471410217039642,standard,500
10,standard,warmstart,0.840611996088536,0.10018541699669506,0.8397229599091407,0.10296567833035467,0.10587255819365486,standard,500
15,standard,warmstart,0.8488362661691183,0.09868342418829473,0.8476851882085202,0.10031286383890196,0.1357907365387338,standard,500
20,standard,warmstart,0.8523155964319908,0.0979711085517303,0.8518294612152139,0.09879077611656527,0.057069547240531794,standard,500
