checkpoint,zt_best_pct,zt_sig_pct,tpe_best_pct,tpe_sig_pct
0,100.0,100.0,0.0,0.0
1,90.0,70.0,10.0,0.0
5,70.0,20.0,30.0,20.0
10,30.0,0.0,70.0,20.0
20,0.0,0.0,100.0,60.0
